id,cage_number,mouseline,genotype,gender,dob,available,health,username,user_manipulations,status,comments
k5287,"""616802""",chat,chat_cas9_td_tomato,f,6_22_2024,y,h,,,a,
k8522,"""616803""",chat,chat_cas9_homo,f,9_22_2024,y,h,,,a,test
j9678,"""616798""",chat,cre_cas9,f,6_22_2024,y,h,,,a,
l2202,"""594300""",chat,chat_cas9_td_tomato,f,11_16_2024,y,h,,,a,
k8341,"""588539""",chat,chat_cas9_td_tomato,m,8_31_2024,y,h,,,a,
k8342,"""588539""",chat,chat_cas9_td_tomato,m,8_31_2024,y,h,,,a,
k7394,"""586776""",chat,chat_cas9_td_tomato,f,8_26_2024,y,h,,,a,
k8343,"""588540""",chat,chat_cas9_td_tomato,f,8_31_2024,y,h,,,a,
k8344,"""588540""",chat,chat_cas9_td_tomato,f,8_31_2024,y,h,,,a,
k8345,"""588540""",chat,chat_cas9_td_tomato,f,8_31_2024,y,h,,,a,
l2641,"""622551""",chat,,m,1_12_2025,y,h,,,a,
k5978,"""622551""",chat,,f,7_31_2024,y,h,,,a,
l2642,"""622551""",chat,,f,1_12_2025,y,h,,,a,
k7379,"""585319""",chat,cre_td_tomato,f,8_20_2024,y,h,,,a,
k8464,"""585319""",chat,chat_td_tomato_het,f,9_12_2024,y,h,,,a,
k8388,"""589348""",chat,chat_cas9_td_tomato,f,9_5_2024,y,h,,,a,
l4022,"""612789""",chat,chat_cas9_td_tomato,m,12_11_2024,y,h,,,a,
k7392,"""586775""",chat,cre,m,8_26_2024,y,H,,,a,
k7393,"""586775""",chat,cre_td_tomato,m,8_26_2024,y,h,,,a,
k8520,"""594299""",chat,chat_cas9_het,m,9_22_2024,y,h,,,a,
k5288,"""571034""",chat,chat_td_tomato,f,6_22_2024,y,h,,,a,
k8737,"""601201""",chat,chat_cas9_td_tomato,m,10_16_2024,y,h,,,a,
l2005,"""602077""",chat,,m,10_25_2024,y,h,,,a,
l2006,"""602077""",chat,,m,10_25_2024,y,h,,,a,
l2007,"""602077""",chat,,m,10_25_2024,y,h,,,a,
l2008,"""602077""",chat,,m,10_25_2024,y,h,,,a,
l2044,"""604570""",chat,,m,10_28_2024,y,h,,,a,
l2045,"""604570""",chat,,m,10_28_2024,y,h,,,a,
l2046,"""604569""",chat,,f,10_28_2024,y,h,,,a,
k8345,"""624651""",chat,chat_cas9_td_tomato,f,8_31_2024,y,h,,,a,
k3574 ,"""571028""",chat,chat_cas9_td_tomato,m,6_16_2024,y,h,,,a,
k8277,"""600186""",chat,chat_cas9_homo,f,10_16_2024,y,h,,,a,
k8278,"""600186""",chat,chat_cas9_homo,f,10_16_2024,y,h,,,a,
